x	y
746.053	0.186447
746.867	0.185393
747.682	0.183287
748.496	0.183287
749.311	0.18276
750.125	0.18118
750.94	0.180653
751.754	0.179073
752.569	0.17802
753.383	0.17802
754.198	0.17644
755.013	0.175913
755.827	0.17486
756.642	0.173279
757.456	0.172753
758.271	0.172226
759.085	0.170646
759.9	0.170646
760.714	0.169066
761.529	0.168013
762.343	0.167486
763.158	0.166959
763.972	0.165379
764.787	0.165379
765.602	0.164326
766.416	0.162746
767.231	0.162219
768.045	0.161692
768.86	0.160112
769.674	0.160112
770.489	0.158532
771.303	0.157479
772.118	0.156952
772.932	0.156426
773.747	0.155372
774.561	0.154846
775.376	0.153265
776.19	0.152212
777.005	0.151685
777.82	0.151685
778.634	0.150105
779.449	0.149579
780.263	0.149052
781.078	0.147999
781.892	0.146419
782.707	0.146419
783.521	0.144838
784.336	0.144312
785.15	0.143785
785.965	0.142732
786.779	0.141678
787.594	0.141152
788.409	0.140625
789.223	0.139572
790.038	0.139045
790.852	0.138518
791.667	0.136938
792.481	0.136412
793.296	0.135885
794.11	0.134305
794.925	0.134305
795.739	0.133251
796.554	0.132198
797.368	0.131671
798.183	0.130618
798.997	0.130618
799.812	0.12974
800.627	0.128862
801.441	0.127985
802.256	0.126931
803.07	0.125878
803.885	0.125351
804.699	0.124824
805.514	0.124298
806.328	0.123244
807.143	0.122718
807.957	0.121664
808.772	0.120611
809.586	0.120611
810.401	0.119558
811.216	0.118504
812.03	0.117451
812.845	0.117451
813.659	0.116924
814.474	0.115344
815.288	0.115344
816.103	0.114291
816.917	0.113237
817.732	0.113237
818.546	0.112184
819.361	0.111657
820.175	0.110077
820.99	0.110077
821.805	0.109551
822.619	0.108497
823.434	0.107971
824.248	0.106917
825.063	0.106917
825.877	0.105864
826.692	0.10481
827.506	0.10481
828.321	0.10323
829.135	0.102704
829.95	0.102704
830.764	0.10165
